time,value,sigma,name,global,n,condition
0,9.95,0.188543714009053,opf,con_pfl,1,pfl_19.88
0,12.7,0.240438323151887,opf,con_pfl,1,pfl_25.37
0,14.65,0.277257789568742,opf,con_pfl,1,pfl_29.34
0,19.3,0.36509518407736,opf,con_pfl,1,pfl_38.61
0,22.75,0.430283755011727,opf,con_pfl,1,pfl_45.55
10,0.23,0.00411537118669035,opf,con_pds,2,pds_0.16
10,0.35,0.00620100230036024,opf,con_pds,1,pds_0.26
10,0.38,0.00364661985783671,opf,con_pds,3,pds_0.32
10,0.615,0.00525736772860141,opf,con_pds,2,pds_0.65
10,0.74,0.00576303596531788,opf,con_pds,2,pds_1.3
10,0.545,0.00499683148405683,opf,con_pds,2,pds_2.6
10,0.485,0.00478905217547841,opf,con_pds,2,pds_3.9
10,0.27,0.00323557724175282,oz,con_pds,2,pds_0.16
10,0.475,0.0068809947515594,oz,con_pds,1,pds_0.26
10,0.51,0.00421543682333347,oz,con_pds,3,pds_0.32
10,0.905,0.00865917296777243,oz,con_pds,2,pds_0.65
10,1.67,0.0156621476946257,oz,con_pds,2,pds_1.3
10,2.46,0.0229653256848629,oz,con_pds,2,pds_2.6
10,2.795,0.0260694854448352,oz,con_pds,2,pds_3.9
10,4.05,0.0606910690945013,op,con_pds,2,pds_0.16
10,3.855,0.0816975865743221,op,con_pds,1,pds_0.26
10,3.815,0.0466787027751577,op,con_pds,3,pds_0.32
10,3.355,0.0502762239924735,op,con_pds,2,pds_0.65
10,2.49,0.0373138807609717,op,con_pds,2,pds_1.3
10,1.9,0.0284725380268889,op,con_pds,2,pds_2.6
10,1.875,0.0280979056397538,op,con_pds,2,pds_3.9
0,4.595,0.225559772041304,op,standard_WT,3,standard_WT
5,2.37,0.146981538523051,op,standard_WT,3,standard_WT
10,2.04,0.137311876556601,op,standard_WT,3,standard_WT
15,1.875,0.132794286907528,op,standard_WT,3,standard_WT
20,1.8,0.130819244289045,op,standard_WT,3,standard_WT
30,1.69,0.12801757009854,op,standard_WT,3,standard_WT
40,1.67,0.127520819174742,op,standard_WT,3,standard_WT
60,1.67,0.127520819174742,op,standard_WT,3,standard_WT
5,0.92515911625,0.0240284641726897,opf,standard_WT,3,standard_WT
10,0.86698044175,0.0240284641237865,opf,standard_WT,3,standard_WT
15,0.80451486445,0.0240284640748145,opf,standard_WT,3,standard_WT
